,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
96,BBC News (World),RT @nkosi_milton: Sindiso Mfenyana the chairman of the electoral commission is now addressing the plenary with the results. #ANC54  #ANCcon…,Mon Dec 18 16:51:56 +0000 2017,0.0,0.0,1.0,0.0,4
97,BBC News (World),What is behind the long-running conflict? https://t.co/trzPqOZArQ,Mon Dec 18 16:45:18 +0000 2017,-0.3182,0.0,0.723,0.277,3
98,BBC News (World),ESPN president John Skipper resigns citing substance addiction https://t.co/hToPw8nqHh,Mon Dec 18 16:42:55 +0000 2017,-0.3182,0.0,0.777,0.223,2
99,BBC News (World),Train carriage falls on US highway https://t.co/Z83UZje1g0,Mon Dec 18 16:32:23 +0000 2017,0.0,0.0,1.0,0.0,1
100,CBS News,"The arrests piled up during Hoboken's SantaCon, while the town's police chief live tweeted his tally -- he called t… https://t.co/vx00DNKa1n",Tue Dec 19 17:45:01 +0000 2017,-0.4404,0.0,0.873,0.127,100
101,CBS News,Federal judge orders Trump administration to allow two pregnant immigrant teens in U.S. custody to obtain abortions… https://t.co/GJhFmgtxq7,Tue Dec 19 17:26:55 +0000 2017,0.2263,0.101,0.899,0.0,99
102,CBS News,"More people than ever have signed up for the ""Do Not Call Registry,"" but spam phone calls are still surging to a ne… https://t.co/84eytnHlEx",Tue Dec 19 17:10:01 +0000 2017,-0.5023,0.0,0.871,0.129,98
103,CBS News,"On the front lines of the opioid epidemic, U.S. police are split on the use of Narcan:
https://t.co/6kMqH1IWYf https://t.co/0gSOj0cFxi",Tue Dec 19 16:55:01 +0000 2017,0.0,0.0,1.0,0.0,97
104,CBS News,"Can I get a flu shot if I have an egg allergy? Yes, now you can: https://t.co/6F8TciC8sJ https://t.co/qWsyWAR7mB",Tue Dec 19 16:40:01 +0000 2017,0.0258,0.148,0.71,0.142,96
105,CBS News,A teacher at a Christian school in Oregon is accused of having a sexual relationship with a student:… https://t.co/fj0TDjTUxy,Tue Dec 19 16:25:01 +0000 2017,-0.296,0.0,0.864,0.136,95
106,CBS News,Texas Rangers pitcher Cole Hamels is donating his $10 million mansion to charity https://t.co/BogdaOsXyB https://t.co/e4ESEFcfgu,Tue Dec 19 16:10:02 +0000 2017,0.4215,0.167,0.833,0.0,94
107,CBS News,"Parents of Rosalie Avila, bullied girl who killed herself, intend to file a wrongful death lawsuit against her scho… https://t.co/DLAY9bNhk5",Tue Dec 19 15:55:00 +0000 2017,-0.9371,0.0,0.51,0.49,93
108,CBS News,An animatronic figure of Donald Trump has joined Disney's Hall of Presidents in Florida: https://t.co/o2HQi91pFC https://t.co/0fkqlAhKFm,Tue Dec 19 15:40:01 +0000 2017,0.0,0.0,1.0,0.0,92
109,CBS News,"""If people are out there on TV telling mistruths, disguising the facts of this thing, that will make it unpopular,""… https://t.co/WULXVhPZal",Tue Dec 19 15:29:00 +0000 2017,-0.3182,0.0,0.897,0.103,91
110,CBS News,"The GOP tax reform bill ""is about expanding opportunity to people who are striving to make the most of their lives,… https://t.co/0lmuOh7KCG",Tue Dec 19 15:26:58 +0000 2017,0.4215,0.118,0.882,0.0,90
111,CBS News,"""Our thoughts and prayers are with the victims and the people were injured. Our thanks go out to the first responde… https://t.co/LrxzQ9D1eA",Tue Dec 19 15:25:14 +0000 2017,-0.2732,0.108,0.706,0.186,89
112,CBS News,"Police are calling the deaths of a Canadian billionaire and his wife ""suspicious"" after they were found dead in the… https://t.co/aGjO26Phxd",Tue Dec 19 15:25:01 +0000 2017,-0.6486,0.0,0.815,0.185,88
113,CBS News,WATCH LIVE: House GOP leaders discuss tax bill ahead of final vote https://t.co/T5uqoA85rO https://t.co/sIS7aCo8Pz,Tue Dec 19 15:21:25 +0000 2017,0.0,0.0,1.0,0.0,87
114,CBS News,There's a surprising winner of the GOP's tax cut bill: foreign investors https://t.co/3QcYVskz1h https://t.co/WJlaCxHH6B,Tue Dec 19 15:10:01 +0000 2017,0.5859,0.328,0.556,0.117,86
115,CBS News,"Tax cuts will cross all income lines under the GOP bill, but cuts will disappear by 2027, Congress' nonpartisan tax… https://t.co/5eSpqX8lId",Tue Dec 19 14:55:01 +0000 2017,-0.6956,0.0,0.727,0.273,85
116,CBS News,"Reporter: How much is the U.S. government, specifically the NSA, to blame for this?
Bossert: ""Not at all.""… https://t.co/b3V4c79ets",Tue Dec 19 14:44:10 +0000 2017,-0.34,0.0,0.882,0.118,84
117,CBS News,"""Our assumption on [North Korea] not raising a lot of money comes from the belief that the hackers hit targets that… https://t.co/8WwGEEauSx",Tue Dec 19 14:38:53 +0000 2017,0.0,0.0,1.0,0.0,83
118,CBS News,"""President Trump not only continued the national emergency for cyber security, but he did so himself and sanctioned… https://t.co/NBLWZbuaso",Tue Dec 19 14:32:37 +0000 2017,-0.0258,0.083,0.829,0.088,82
119,CBS News,"""President Trump has used just about every lever you could use, short a starving the people of North Korea to death… https://t.co/OZ4fc7AUuj",Tue Dec 19 14:30:24 +0000 2017,-0.4215,0.0,0.877,0.123,81
